aligned_dna_short_read_id,experiment_dna_short_read_id,aligned_dna_short_read_file,aligned_dna_short_read_index_file,md_5_sum,reference_assembly,alignment_software,mean_coverage,analysis_details,reference_assembly_details,reference_assembly_uri,quality_issues
PMGRC-254-233-2_LS4268846_SQ6122_1,PMGRC-254-233-2_LS4268846_SQ6122,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-254-233-2_LS4268846_SQ6122.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-254-233-2_LS4268846_SQ6122.crai,,GRCh38,bwa 0.7.17,44.1,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-265-265-0_LS3762941_SQ6085_1,PMGRC-265-265-0_LS3762941_SQ6085,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-265-265-0_LS3762941_SQ6085.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-265-265-0_LS3762941_SQ6085.crai,,GRCh38,bwa 0.7.17,28.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-266-266-0_LS4268840_SQ6098_1,PMGRC-266-266-0_LS4268840_SQ6098,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-266-266-0_LS4268840_SQ6098.cram,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-266-266-0_LS4268840_SQ6098.crai,ff6b2ef902f8db16b5c19b3bb92a305a,GRCh38,bwa 0.7.17,32.2,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-267-266-2_LS4268855_SQ6078_1,PMGRC-267-266-2_LS4268855_SQ6078,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-267-266-2_LS4268855_SQ6078.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-267-266-2_LS4268855_SQ6078.crai,,GRCh38,bwa 0.7.17,28.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-268-266-1_LS4268839_SQ6097_1,PMGRC-268-266-1_LS4268839_SQ6097,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-268-266-1_LS4268839_SQ6097.cram,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-268-266-1_LS4268839_SQ6097.crai,feccd825d8759e69ec3dcc136a4fa9b2,GRCh38,bwa 0.7.17,60.2,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-279-279-0_LS3762956_SQ6100_1,PMGRC-279-279-0_LS3762956_SQ6100,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-279-279-0_LS3762956_SQ6100.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-279-279-0_LS3762956_SQ6100.crai,,GRCh38,bwa 0.7.17,32.1,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-281-281-0_LS4268806_SQ6038_1,PMGRC-281-281-0_LS4268806_SQ6038,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-281-281-0_LS4268806_SQ6038.cram,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-281-281-0_LS4268806_SQ6038.crai,606dc765b1a0c36a8076492934f870bb,GRCh38,bwa 0.7.17,33.5,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-282-279-2_LS3762958_SQ6102_1,PMGRC-282-279-2_LS3762958_SQ6102,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-282-279-2_LS3762958_SQ6102.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-282-279-2_LS3762958_SQ6102.crai,,GRCh38,bwa 0.7.17,34.8,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-283-279-1_LS3762957_SQ6101_1,PMGRC-283-279-1_LS3762957_SQ6101,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-283-279-1_LS3762957_SQ6101.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-283-279-1_LS3762957_SQ6101.crai,,GRCh38,bwa 0.7.17,30.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-284-284-0_LS3762948_SQ6092_1,PMGRC-284-284-0_LS3762948_SQ6092,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-284-284-0_LS3762948_SQ6092.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-284-284-0_LS3762948_SQ6092.crai,,GRCh38,bwa 0.7.17,29.7,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-285-284-1_LS3762946_SQ6090_1,PMGRC-285-284-1_LS3762946_SQ6090,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-285-284-1_LS3762946_SQ6090.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-285-284-1_LS3762946_SQ6090.crai,,GRCh38,bwa 0.7.17,36.9,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-286-284-2_LS3762947_SQ6091_1,PMGRC-286-284-2_LS3762947_SQ6091,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-286-284-2_LS3762947_SQ6091.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-286-284-2_LS3762947_SQ6091.crai,,GRCh38,bwa 0.7.17,36.8,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-288-289-2_LS4268826_SQ6066_1,PMGRC-288-289-2_LS4268826_SQ6066,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-288-289-2_LS4268826_SQ6066.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-288-289-2_LS4268826_SQ6066.crai,,GRCh38,bwa 0.7.17,33.4,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-289-289-0_LS3762953_SQ6097_1,PMGRC-289-289-0_LS3762953_SQ6097,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-289-289-0_LS3762953_SQ6097.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-289-289-0_LS3762953_SQ6097.crai,,GRCh38,bwa 0.7.17,33.3,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-290-289-1_LS3762952_SQ6096_1,PMGRC-290-289-1_LS3762952_SQ6096,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-290-289-1_LS3762952_SQ6096.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-290-289-1_LS3762952_SQ6096.crai,,GRCh38,bwa 0.7.17,33.8,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-291-291-0_LS4073342_SQ6116_1,PMGRC-291-291-0_LS4073342_SQ6116,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-291-291-0_LS4073342_SQ6116.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-291-291-0_LS4073342_SQ6116.crai,,GRCh38,bwa 0.7.17,46.1,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-292-291-2_LS4073340_SQ6114_1,PMGRC-292-291-2_LS4073340_SQ6114,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-292-291-2_LS4073340_SQ6114.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-292-291-2_LS4073340_SQ6114.crai,,GRCh38,bwa 0.7.17,40.3,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-293-291-1_LS4073346_SQ6120_1,PMGRC-293-291-1_LS4073346_SQ6120,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-293-291-1_LS4073346_SQ6120.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-293-291-1_LS4073346_SQ6120.crai,,GRCh38,bwa 0.7.17,38.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-294-294-0_LS3762955_SQ6099_1,PMGRC-294-294-0_LS3762955_SQ6099,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-294-294-0_LS3762955_SQ6099.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-294-294-0_LS3762955_SQ6099.crai,,GRCh38,bwa 0.7.17,35.2,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-295-294-2_LS3762954_SQ6098_1,PMGRC-295-294-2_LS3762954_SQ6098,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-295-294-2_LS3762954_SQ6098.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-295-294-2_LS3762954_SQ6098.crai,,GRCh38,bwa 0.7.17,19.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-296-296-0_LS3762984_SQ6104_1,PMGRC-296-296-0_LS3762984_SQ6104,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-296-296-0_LS3762984_SQ6104.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-296-296-0_LS3762984_SQ6104.crai,,GRCh38,bwa 0.7.17,53.5,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-297-296-2_LS3762983_SQ6103_1,PMGRC-297-296-2_LS3762983_SQ6103,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-297-296-2_LS3762983_SQ6103.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-297-296-2_LS3762983_SQ6103.crai,,GRCh38,bwa 0.7.17,42.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-298-296-1_LS3762976_SQ6096_1,PMGRC-298-296-1_LS3762976_SQ6096,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-298-296-1_LS3762976_SQ6096.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-298-296-1_LS3762976_SQ6096.crai,,GRCh38,bwa 0.7.17,43.4,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-299-299-0_LS3762962_SQ6106_1,PMGRC-299-299-0_LS3762962_SQ6106,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-299-299-0_LS3762962_SQ6106.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-299-299-0_LS3762962_SQ6106.crai,,GRCh38,bwa 0.7.17,33.1,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-3-3-0_LS3516179_SQ6065_1,PMGRC-3-3-0_LS3516179_SQ6065,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-3-3-0_LS3516179_SQ6065.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-3-3-0_LS3516179_SQ6065.crai,,GRCh38,bwa 0.7.17,29.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-300-299-2_LS3762961_SQ6105_1,PMGRC-300-299-2_LS3762961_SQ6105,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-300-299-2_LS3762961_SQ6105.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-300-299-2_LS3762961_SQ6105.crai,,GRCh38,bwa 0.7.17,37.9,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-302-302-0_LS3762982_SQ6102_1,PMGRC-302-302-0_LS3762982_SQ6102,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-302-302-0_LS3762982_SQ6102.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-302-302-0_LS3762982_SQ6102.crai,,GRCh38,bwa 0.7.17,41.5,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-308-310-2_LS4698980_SQ6069_1,PMGRC-308-310-2_LS4698980_SQ6069,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-308-310-2_LS4698980_SQ6069.cram,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-308-310-2_LS4698980_SQ6069.crai,1724cfe27490633ba0b027ab6a935c41,GRCh38,bwa 0.7.17,49.0,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.","GRCh38, no alts",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,
PMGRC-309-310-1_LS4698981_SQ6070_1,PMGRC-309-310-1_LS4698981_SQ6070,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-309-310-1_LS4698981_SQ6070.cram,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-309-310-1_LS4698981_SQ6070.crai,e3616c7bd036990dd2e1121522f071e6,GRCh38,bwa 0.7.17,53.9,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.","GRCh38, no alts",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,
PMGRC-31-32-2_LS3516226_SQ6112_1,PMGRC-31-32-2_LS3516226_SQ6112,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-31-32-2_LS3516226_SQ6112.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-31-32-2_LS3516226_SQ6112.crai,,GRCh38,bwa 0.7.17,38.2,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-310-310-0_LS4698982_SQ6037_1,PMGRC-310-310-0_LS4698982_SQ6037,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-310-310-0_LS4698982_SQ6037.cram,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-310-310-0_LS4698982_SQ6037.crai,460e414e1d22da66d87b37e6f301742f,GRCh38,bwa 0.7.17,32.9,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.","GRCh38, no alts",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,
PMGRC-311-312-1_LS3762980_SQ6100_1,PMGRC-311-312-1_LS3762980_SQ6100,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-311-312-1_LS3762980_SQ6100.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-311-312-1_LS3762980_SQ6100.crai,,GRCh38,bwa 0.7.17,33.2,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-312-312-0_LS3762981_SQ6101_1,PMGRC-312-312-0_LS3762981_SQ6101,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-312-312-0_LS3762981_SQ6101.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-312-312-0_LS3762981_SQ6101.crai,,GRCh38,bwa 0.7.17,49.7,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-313-316-2_LS4268793_SQ6109_1,PMGRC-313-316-2_LS4268793_SQ6109,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-313-316-2_LS4268793_SQ6109.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-313-316-2_LS4268793_SQ6109.crai,,GRCh38,bwa 0.7.17,72.3,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-314-316-1_LS4268825_SQ6065_1,PMGRC-314-316-1_LS4268825_SQ6065,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-314-316-1_LS4268825_SQ6065.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-314-316-1_LS4268825_SQ6065.crai,,GRCh38,bwa 0.7.17,31.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-315-316-3_LS4268791_SQ6095_1,PMGRC-315-316-3_LS4268791_SQ6095,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-315-316-3_LS4268791_SQ6095.cram,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-315-316-3_LS4268791_SQ6095.crai,f1e6effdaa5f9468cf8606d653878c13,GRCh38,bwa 0.7.17,57.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-316-316-0_LS4268795_SQ6111_1,PMGRC-316-316-0_LS4268795_SQ6111,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-316-316-0_LS4268795_SQ6111.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-316-316-0_LS4268795_SQ6111.crai,,GRCh38,bwa 0.7.17,48.9,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-32-32-0_LS3516225_SQ6111_1,PMGRC-32-32-0_LS3516225_SQ6111,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-32-32-0_LS3516225_SQ6111.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-32-32-0_LS3516225_SQ6111.crai,,GRCh38,bwa 0.7.17,43.4,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-320-320-0_LS4699017_SQ6086_1,PMGRC-320-320-0_LS4699017_SQ6086,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-320-320-0_LS4699017_SQ6086.cram,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-320-320-0_LS4699017_SQ6086.crai,2f1a1117ce26ae9809492067a60abb5e,GRCh38,bwa 0.7.17,49.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.","GRCh38, no alts",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,
PMGRC-321-323-2_LS4073411_SQ6065_1,PMGRC-321-323-2_LS4073411_SQ6065,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-321-323-2_LS4073411_SQ6065.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-321-323-2_LS4073411_SQ6065.crai,,GRCh38,bwa 0.7.17,44.7,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-322-323-1_LS4073412_SQ6066_1,PMGRC-322-323-1_LS4073412_SQ6066,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-322-323-1_LS4073412_SQ6066.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-322-323-1_LS4073412_SQ6066.crai,,GRCh38,bwa 0.7.17,41.3,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
